02:40.904	ID:4	Broadcast recv from 1 of 1 with id 16
02:40.904	ID:5	Broadcast recv from 1 of 1 with id 16
02:40.904	ID:3	Broadcast recv from 1 of 1 with id 16
02:40.904	ID:6	Broadcast recv from 1 of 1 with id 16
02:40.904	ID:2	Broadcast recv from 1 of 1 with id 16
02:40.906	ID:6	Broadcast message sent
02:40.906	ID:3	Broadcast message sent
02:40.906	ID:5	Broadcast message sent
02:40.906	ID:4	Broadcast message sent
02:40.906	ID:2	Broadcast message sent
02:50.894	ID:1	Send me a message
02:50.905	ID:6	Broadcast message sent 17
02:50.913	ID:1	Broadcast recv from 6 of 6 with id 17
02:50.913	ID:4	Broadcast recv from 6 of 6 with id 17
02:50.913	ID:2	Broadcast recv from 6 of 6 with id 17
02:50.913	ID:3	Broadcast recv from 6 of 6 with id 17
02:50.913	ID:5	Broadcast recv from 6 of 6 with id 17
02:50.915	ID:2	Broadcast message sent
02:50.915	ID:1	Broadcast message sent
02:50.915	ID:4	Broadcast message sent
02:50.915	ID:3	Broadcast message sent
02:50.915	ID:5	Broadcast message sent
02:50.921	ID:1	Send me a message
02:50.929	ID:4	Broadcast recv from 1 of 6 with id 17
02:50.929	ID:5	Broadcast recv from 1 of 6 with id 17
02:50.929	ID:2	Broadcast recv from 1 of 6 with id 17
02:50.929	ID:6	Broadcast recv from 1 of 6 with id 17
02:50.929	ID:3	Broadcast recv from 1 of 6 with id 17
02:50.931	ID:5	Broadcast message sent
02:50.931	ID:4	Broadcast message sent
02:50.931	ID:2	Broadcast message sent
02:50.931	ID:3	Broadcast message sent
03:00.917	ID:1	Send me a message
03:00.929	ID:10	Broadcast message sent 18
03:00.937	ID:12	Broadcast recv from 10 of 10 with id 18
03:00.937	ID:7	Broadcast recv from 10 of 10 with id 18
03:00.937	ID:11	Broadcast recv from 10 of 10 with id 18
03:00.938	ID:9	Broadcast recv from 10 of 10 with id 18
03:00.938	ID:8	Broadcast recv from 10 of 10 with id 18
03:00.940	ID:12	Broadcast message sent
03:00.940	ID:7	Broadcast message sent
03:00.940	ID:11	Broadcast message sent
03:00.940	ID:9	Broadcast message sent
03:00.940	ID:8	Broadcast message sent
